epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1961.01,2.7357,3.98514,1.449,0.42072,0.36232,0.26269,0.08892,2.36324,2.14657,1.31954,0.00333257,0.00333257,0.00333257
2,3920.88,2.5108,2.45491,1.34762,0.48139,0.40097,0.28813,0.11673,2.26264,1.97256,1.28138,0.00622596,0.00622596,0.00622596
3,6286.03,2.50986,2.43068,1.36718,0.51208,0.4058,0.29452,0.11678,2.25582,1.97034,1.30188,0.00867934,0.00867934,0.00867934
4,10279.5,2.47484,2.35079,1.36184,0.52978,0.4058,0.30804,0.11892,2.21344,1.93555,1.28185,0.00802,0.00802,0.00802
5,16052.4,2.4144,2.23859,1.33334,0.55092,0.42512,0.32166,0.12117,2.1913,1.92413,1.26713,0.00736,0.00736,0.00736
6,19002.4,2.36724,2.1859,1.38839,0.57471,0.43961,0.33273,0.12388,2.19009,1.91567,1.26289,0.0067,0.0067,0.0067
7,20951.5,2.33818,2.12468,1.37529,0.57317,0.43961,0.34041,0.12769,2.17579,1.87696,1.25825,0.00604,0.00604,0.00604
8,22903.5,2.31256,2.07559,1.36224,0.58264,0.46377,0.34794,0.13469,2.15566,1.83062,1.24875,0.00538,0.00538,0.00538
9,24852,2.29445,2.04021,1.35242,0.54798,0.46377,0.3543,0.14214,2.12673,1.79337,1.23716,0.00472,0.00472,0.00472
10,26803.6,2.27459,1.99467,1.34269,0.55175,0.47343,0.36184,0.14641,2.11217,1.75768,1.23254,0.00406,0.00406,0.00406
11,28753.4,2.25359,1.95276,1.33301,0.54436,0.46751,0.36893,0.15177,2.08758,1.72335,1.22638,0.0034,0.0034,0.0034
12,30702.5,2.22994,1.91243,1.32135,0.54788,0.47343,0.37539,0.15427,2.06971,1.68552,1.21992,0.00274,0.00274,0.00274
13,32652.5,2.20354,1.86548,1.30921,0.55498,0.48799,0.38292,0.15808,2.06109,1.66224,1.21597,0.00208,0.00208,0.00208
14,34601.2,2.17641,1.81725,1.296,0.55673,0.51208,0.38978,0.16411,2.04614,1.63477,1.2101,0.00142,0.00142,0.00142
15,36549.8,2.14818,1.76989,1.28316,0.56758,0.52657,0.39391,0.16986,2.03036,1.61032,1.20363,0.00076,0.00076,0.00076
